,Neighborhood,crime10,crime11,crime12,crime13,crime14,viol10,viol11,viol12,viol13,viol14,prop11,prop12,prop13,prop14,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,domvio12,shoot11,caslt11,caslt12,narc11,narc12,caracc11,caracc12,gunhom11,gunhom12,gunhom13,arrest14,empl13,unempl13,nilf13,unempr13,lesshs13,hsdipl13,somecol13,wrkout10,wrkout11,comprop10,comprop11,comprop12,comprop13,crehab10,crehab11,crehab12,crehab13,banks11,banks12,banks13,numbus10,numbus11,numbus12,numbus13,totemp10,totemp11,totemp12,totemp13,smlbus10,smlbus11,smlbus12,smlbus13,biz1_10,biz1_11,biz1_12,biz1_13,biz2_10,biz2_11,biz2_12,biz2_13,biz4_10,biz4_11,biz4_12,biz4_13,neiind10,neiind11,neiind12,neiind13,neibus10,neibus11,neibus12,neibus13,neiemp10,neiemp11,neiemp12,neiemp13,prbprl12
28,Howard Park/West Arlington,50.5,48.2,47.0,57.6,45.3,11.4,12.9,9.7,11.6,7.8,35.3,37.3,45.2,36.5,46.5,11.2,9.3,46.3,45.5,46.1,1.1,61.3,54.3,39.3,32.0,54.4,52.7,0.1,0.1,0.4,13.6,59.1,12.0,29.0,16.8,17.4,67.0,15.6,57.3,52.6,156,155,151,152,11.5,8.4,13.9,15.8,0.3,0.2,0.3,174,207,174,248,2889,2927,2887,3262,163,195,157,227,2.9,7.2,5.2,5.2,14.9,13.5,10.9,21.0,28.7,30.9,23.6,36.3,123,148,126,166,11.3,13.6,11.6,15.3,1960,2159,2283,2351,4.4
29,Inner Harbor/Federal Hill,165.2,128.3,97.8,88.3,79.3,18.7,16.9,13.1,11.6,10.4,111.4,84.6,75.7,68.4,359.0,83.3,48.1,57.3,61.7,41.5,0.5,122.5,72.0,39.5,29.6,119.8,72.8,0.1,0.1,0.1,26.0,79.1,4.2,16.7,5.0,10.5,23.4,66.1,54.3,55.5,505,509,498,494,19.2,27.5,31.3,17.2,0.4,0.4,0.4,810,767,833,908,15541,14565,14471,16762,756,716,773,837,7.9,9.5,9.1,3.7,21.6,15.1,21.8,20.9,37.4,33.4,35.4,37.8,570,566,589,657,69.9,69.4,45.8,51.1,10665,9633,9646,10921,1.9
30,Lauraville,39.6,47.2,40.3,43.3,38.9,6.3,8.6,7.0,7.6,5.9,38.5,33.3,35.2,32.5,27.0,10.5,4.5,48.8,54.8,44.2,1.1,58.6,48.9,20.5,28.8,45.4,41.4,0.1,0.0,0.2,15.2,66.7,9.4,24.0,12.3,10.1,54.1,35.7,54.0,61.0,144,134,133,131,3.5,2.2,5.3,8.4,0.1,0.0,0.0,234,220,239,271,1752,1430,1533,1777,227,215,231,257,12.4,10.5,8.4,5.9,27.8,20.5,22.2,21.4,40.2,37.7,39.3,48.0,157,149,158,178,12.8,12.1,12.9,14.5,1225,950,956,1120,3.4
31,Loch Raven,34.3,37.8,42.5,42.7,43.7,8.4,8.0,8.7,11.1,8.4,29.8,33.8,31.3,34.7,20.4,4.5,7.0,45.1,43.4,45.4,0.7,63.7,55.1,31.4,29.1,38.5,42.8,0.0,0.1,0.1,14.0,64.1,8.9,26.9,12.2,16.4,61.2,22.5,53.1,49.0,53,53,50,50,34.0,20.8,40.0,28.0,0.2,0.2,0.2,216,203,213,246,4256,2016,1949,1918,206,193,196,236,5.1,6.9,3.8,4.1,20.8,11.3,14.1,21.1,29.6,28.6,30.5,36.2,171,166,169,194,11.2,10.8,11.0,12.7,3650,1458,1364,1333,3.7
32,Madison/East End,65.5,73.5,78.5,86.2,71.8,25.1,20.9,27.0,25.8,24.2,52.6,51.5,59.2,46.5,108.3,13.0,49.1,63.2,75.4,76.1,5.0,140.2,145.1,170.7,179.8,32.1,35.3,0.4,0.6,1.2,154.6,44.3,15.6,40.1,26.1,39.7,55.1,5.2,49.9,45.8,183,183,187,187,7.7,1.6,1.1,4.3,0.0,0.0,0.0,212,162,218,230,1142,923,1150,1297,209,160,216,222,9.0,8.6,11.9,7.8,19.8,14.2,23.9,20.9,36.3,30.2,35.3,33.9,174,136,168,182,22.4,17.5,21.6,23.4,756,585,709,858,14.5
33,Medfield/Hampden/Woodberry/Remington,51.2,46.5,44.8,56.4,51.5,7.1,8.9,7.5,9.2,9.1,37.6,37.3,46.1,42.0,71.8,17.1,13.7,34.2,35.3,30.6,0.1,64.8,62.6,22.1,20.6,43.9,41.4,0.0,0.0,0.1,11.4,78.3,5.4,16.3,6.5,14.6,35.3,50.1,50.4,49.5,551,545,544,544,10.3,13.8,19.1,21.3,0.2,0.3,0.3,861,818,849,929,12954,9358,9521,9296,828,788,803,885,7.3,6.0,4.7,3.6,17.4,12.6,13.2,19.4,31.0,28.0,27.4,34.1,560,552,575,626,32.2,31.7,33.1,35.9,4620,4108,4762,4966,1.9
34,Midtown,92.9,99.5,95.8,92.0,84.2,15.2,13.9,14.4,16.4,12.3,85.6,81.4,74.8,70.5,198.0,67.1,63.8,25.0,24.1,23.4,1.4,67.0,71.1,28.6,33.7,68.2,62.0,0.1,0.1,0.1,20.0,61.3,6.6,32.1,9.7,12.9,28.9,58.2,46.8,52.5,966,963,815,807,8.1,7.8,12.1,14.9,0.2,0.3,0.3,1100,993,1079,1209,29523,26944,13479,14236,1063,964,1037,1146,10.1,6.6,9.3,5.6,18.9,14.3,17.9,22.4,32.5,27.2,29.9,37.2,799,725,763,856,53.2,48.3,50.8,57.0,22948,22533,6661,6971,1.7
35,Midway/Coldstream,66.4,72.6,72.4,68.4,69.9,22.0,22.7,20.3,21.0,19.5,50.0,52.2,45.9,49.1,85.6,13.6,38.1,58.1,72.6,70.4,6.5,135.3,126.1,159.7,127.7,55.8,62.2,1.1,0.5,1.1,110.1,55.5,11.7,32.8,17.4,24.9,69.3,5.8,52.90000000000001,49.3,284,284,284,282,3.2,3.9,2.5,4.3,0.1,0.1,0.1,228,207,218,254,1576,1352,1538,2031,223,203,213,246,10.1,6.8,8.3,4.3,21.1,13.5,20.6,17.7,36.4,33.3,32.6,35.4,163,154,153,186,16.9,16.0,15.9,19.3,787,707,721,926,10.1
36,Morrell Park/Violetville,68.0,62.8,54.3,59.8,58.8,6.6,11.3,8.9,11.4,11.7,51.5,45.4,48.1,46.7,26.0,4.1,1.4,59.3,57.3,51.5,2.0,85.1,101.4,20.6,20.9,59.0,55.7,0.1,0.0,0.0,20.1,62.2,9.4,28.4,13.2,31.6,56.6,11.9,68.7,67.1,474,475,477,477,11.0,10.5,17.6,10.9,0.1,0.1,0.1,463,456,436,428,7894,8240,9706,6935,431,423,396,390,5.8,5.7,4.8,5.6,15.8,12.3,11.5,19.2,27.9,27.0,24.5,32.7,277,276,260,259,30.9,30.8,29.0,28.9,3659,4107,5771,3539,3.6
37,Mount Washington/Coldspring,33.1,28.8,32.9,28.8,30.0,2.3,2.3,1.9,2.3,3.1,26.5,31.0,26.3,26.5,25.1,2.5,2.5,45.3,39.9,35.4,0.2,14.5,13.0,3.3,3.7,28.1,49.1,0.0,0.0,0.0,4.4,83.9,3.9,12.2,4.5,5.3,25.3,69.5,49.9,49.8,102,99,98,98,9.8,14.1,26.5,14.3,0.2,0.0,0.0,219,194,200,238,3220,2530,2705,2856,204,182,185,220,6.4,5.2,6.0,0.8,25.1,11.3,13.0,18.1,37.9,38.1,33.5,36.6,158,138,136,171,30.6,26.7,26.3,33.1,2631,2062,2129,2325,0.6
38,North Baltimore/Guilford/Homeland,25.8,27.7,25.4,32.8,29.9,3.1,3.4,3.4,3.4,3.4,24.3,22.0,29.2,26.5,21.0,1.0,4.0,29.1,24.4,23.6,0.1,15.7,20.3,7.6,9.2,28.4,35.0,0.1,0.1,0.0,7.7,56.8,4.4,38.8,7.2,4.3,22.2,73.6,50.2,52.2,235,235,235,234,22.1,17.0,15.7,17.9,0.1,0.0,0.0,411,394,415,504,4089,2961,3745,3984,397,385,401,479,6.3,7.4,6.3,3.6,20.4,13.2,14.5,19.8,32.8,31.0,30.8,40.5,307,295,313,367,17.6,16.9,17.9,21.0,2594,1734,2224,2295,0.7
39,Northwood,39.9,46.1,39.2,37.3,41.8,9.6,11.0,8.3,9.1,6.8,35.1,30.9,27.1,34.2,54.7,20.3,15.4,39.2,42.8,39.1,1.7,50.0,51.2,44.2,45.2,49.0,40.3,0.2,0.2,0.2,14.7,55.5,10.1,34.5,15.4,12.6,63.4,24.0,53.5,46.6,63,63,63,63,11.1,19.0,22.2,7.9,0.0,0.1,0.1,157,145,153,182,3220,2541,2685,3334,148,137,143,173,13.4,9.0,5.9,6.0,32.5,18.6,18.3,22.5,43.9,40.7,38.6,42.9,107,94,100,114,6.4,5.6,6.0,6.8,1861,1821,1846,1878,3.4
40,Oldtown/Middle East,102.4,112.2,90.9,95.7,82.6,27.8,26.7,26.4,33.1,26.6,85.6,64.5,61.1,54.7,145.6,44.9,40.9,63.7,75.3,64.8,4.9,159.0,143.5,138.3,102.2,89.6,81.8,0.7,0.3,0.4,89.7,36.2,14.8,49.0,29.0,36.1,51.5,12.4,51.4,49.9,480,486,495,487,24.4,27.2,24.0,13.1,0.3,0.4,0.4,475,480,482,561,15720,9657,14518,14974,448,456,447,521,7.8,6.3,6.6,1.8,26.9,11.0,14.9,14.6,43.6,37.9,37.1,28.2,367,382,361,439,42.0,43.7,36.0,43.2,10872,5870,9026,6419,9.0
41,Orangeville/East Highlandtown,85.9,91.2,85.6,93.6,81.0,20.4,16.1,18.7,20.7,18.9,75.1,66.9,71.6,60.9,64.3,12.6,22.4,54.3,57.4,60.5,2.3,59.2,133.3,88.6,97.6,114.4,129.1,0.1,0.1,0.1,88.4,63.3,8.2,28.5,11.5,39.2,49.2,11.6,58.7,55.7,619,620,625,625,15.5,16.1,21.0,17.0,0.3,0.3,0.3,553,542,562,594,10386,10063,10090,10766,520,511,518,553,6.5,4.8,6.8,3.5,18.8,11.6,13.7,15.5,32.7,31.5,31.7,29.5,310,304,307,331,34.0,33.3,33.6,36.3,6662,6420,6356,6490,4.3
