,ColNames,Correlation
5006,gunhom12math811,-0.5569345608539551
3508,shoot11hsabio13,-0.556823728342374
1652,viol14read813,-0.5564350470629658
4162,narc11read511,-0.5562231561728119
5512,arrest14math813,-0.5561667951544237
5521,arrest14hsabio10,-0.5555390762113085
5174,gunhom13math811,-0.5555074233216254
3504,shoot11hsaeng13,-0.5552173702420113
2983,domvio10math512,-0.5547039962299096
1324,viol12hsabio13,-0.5545212214757238
3991,caslt12math512,-0.5540181467800454
3171,domvio11hsabio12,-0.5539817582828473
2973,domvio10math310,-0.5537785371745926
3158,domvio11math811,-0.553486869417385
2815,juvdrug11math512,-0.5533265182113624
2975,domvio10math312,-0.552797555327611
1475,viol13read512,-0.5527254323635935
1657,viol14hsabio10,-0.552208306719494
1326,viol12hsagov11,-0.551940407992715
3984,caslt12math313,-0.551917287836825
1472,viol13math513,-0.5514135942396934
634,crime13read511,-0.5503482885237867
4878,gunhom12somecol13,-0.5500503634055606
802,crime14read511,-0.5499162880234689
5179,gunhom13read812,-0.5495057826908811
3176,domvio11hsaalg10,-0.5476861898305385
2976,domvio10math313,-0.5458496680856657
1656,viol14hsaeng13,-0.545839599591071
3001,domvio10hsabio10,-0.5447395521907338
4838,gunhom11math811,-0.5440119738503775
4995,gunhom12read312,-0.5428122405449232
3985,caslt12read310,-0.5424642647753048
2990,domvio10math811,-0.5420123153163509
5175,gunhom13math812,-0.5419635090808249
2979,domvio10read312,-0.5414807193745944
3175,domvio11hsagov13,-0.5412362819563555
5515,arrest14read812,-0.5411149644446612
4827,gunhom11read312,-0.5410521396611423
1315,viol12read812,-0.5406600209660705
3339,domvio12hsabio12,-0.5404753697056494
5510,arrest14math811,-0.5403412271201647
3510,shoot11hsagov11,-0.5395725510372487
1330,viol12hsaalg12,-0.538961897757278
1331,viol12hsaalg13,-0.538961897757278
1478,viol13math811,-0.538518547168077
4344,narc12hsaeng13,-0.5384293966146794
964,viol10read313,-0.5381408428742835
5163,gunhom13read312,-0.5380165292944703
3321,domvio12read510,-0.5377966725511154
3167,domvio11hsaeng12,-0.5375692759357749
5181,gunhom13hsaeng10,-0.5373828537733375
4321,narc12read310,-0.536571261863825
130,crime10read511,-0.5362672934268252
5527,arrest14hsagov13,-0.5359084787587963
1489,viol13hsabio10,-0.5351540499241589
5504,arrest14math513,-0.5349316479213283
5005,gunhom12math810,-0.5345426224785005
2828,juvdrug11read813,-0.5341567873380871
1484,viol13read813,-0.5336930423990696
3823,caslt11math512,-0.5335050045124309
1488,viol13hsaeng13,-0.533375750809713
4992,gunhom12math313,-0.5324586875320693
4955,gunhom12wstud11,-0.5323743163210599
4848,gunhom11hsaeng13,-0.5313606070987733
2822,juvdrug11math811,-0.5301845380606571
4954,gunhom12wstud10,-0.5301330150411322
5009,gunhom12read810,-0.5294106743079608
3505,shoot11hsabio10,-0.5293856356047738
1647,viol14math812,-0.5293652886860784
1810,prop11read511,-0.5292859429867955
5168,gunhom13math513,-0.528370165077437
4956,gunhom12wstud12,-0.5282930256285925
2997,domvio10hsaeng10,-0.527950113960731
2812,juvdrug11read313,-0.527800744003439
4957,gunhom12wstud13,-0.5275469827486622
1640,viol14math513,-0.5268065175847463
2984,domvio10math513,-0.5257921825210738
4351,narc12hsagov13,-0.5257565464973435
5191,gunhom13hsagov13,-0.5255223901687948
3319,domvio12math512,-0.5250929006809456
5376,arrest14empl13,-0.5241257500354326
4323,narc12read312,-0.5240817285123567
3030,domvio11somecol13,-0.5238419879379412
5013,gunhom12hsaeng10,-0.5227595804924255
4176,narc11hsaeng13,-0.5226019196141508
1327,viol12hsagov13,-0.5226010954826625
5018,gunhom12hsabio11,-0.5215058097403371
4996,gunhom12read313,-0.5212465481429892
3493,shoot11math810,-0.5209994052775601
4009,caslt12hsabio10,-0.5206612831127013
5024,gunhom12hsaalg10,-0.5202270338890925
4333,narc12math810,-0.519588171743775
1132,viol11read313,-0.5194404346116359
3347,domvio12hsaalg13,-0.5178985146809478
3346,domvio12hsaalg12,-0.5178985146809478
5185,gunhom13hsabio10,-0.5173878836716279
1660,viol14hsabio13,-0.5169171192316533
1662,viol14hsagov11,-0.5166294028348988
5499,arrest14read312,-0.5165581061573131
5177,gunhom13read810,-0.5165376077185965
5524,arrest14hsabio13,-0.5165010169726645
4842,gunhom11read811,-0.5164982245340688
1312,viol12math813,-0.5164156009715577
4836,gunhom11read513,-0.5160564216306088
1317,viol12hsaeng10,-0.5158710085938291
1295,viol12math312,-0.5158298670047278
4153,narc11read310,-0.5154859535323577
4160,narc11math513,-0.5154824158913179
4008,caslt12hsaeng13,-0.5151397945564096
1479,viol13math812,-0.5150849012736878
4843,gunhom11read812,-0.5148894717887283
3192,domvio12empl13,-0.5137279338823203
4350,narc12hsagov11,-0.5136362415409363
3008,domvio10hsaalg10,-0.513603095763029
1471,viol13math512,-0.5132462296792438
3170,domvio11hsabio11,-0.5131891632977561
3497,shoot11read810,-0.5129767418815181
4345,narc12hsabio10,-0.5127722257564898
4852,gunhom11hsabio13,-0.5127282718164858
1666,viol14hsaalg12,-0.5127074269412176
1667,viol14hsaalg13,-0.5127074269412176
3481,shoot11read310,-0.5122408116538331
1465,viol13read310,-0.5119512875710235
1639,viol14math512,-0.5117824698341018
1498,viol13hsaalg12,-0.5116221070888013
1499,viol13hsaalg13,-0.5116221070888013
4666,caracc12read511,-0.5115900435580425
3178,domvio11hsaalg12,-0.5115032487855322
3179,domvio11hsaalg13,-0.5115032487855322
3998,caslt12math811,-0.5109956335524418
5003,gunhom12read512,-0.5104580970802413
4348,narc12hsabio13,-0.5096804691988882
4837,gunhom11math810,-0.5088016015266028
4165,narc11math810,-0.5078526263871611
5511,arrest14math812,-0.5073110374708969
3483,shoot11read312,-0.5069842211489684
474,crime12read811,-0.5069611570378438
1494,viol13hsagov11,-0.5068493271313321
3003,domvio10hsabio12,-0.5067735670600148
3827,caslt11read512,-0.5065395856746253
960,viol10math313,-0.5061440683329478
5016,gunhom12hsaeng13,-0.5058500786406974
3999,caslt12math812,-0.5051029620954578
2482,juvarr11read511,-0.5050828674217152
3329,domvio12read810,-0.5038332419508547
1978,prop12read511,-0.5029202109418142
3318,domvio12math511,-0.5025217635105433
3166,domvio11hsaeng11,-0.5018866036704204
2823,juvdrug11math812,-0.501623663597637
980,viol10read813,-0.49991369707165567
974,viol10math811,-0.49937501211506974
1651,viol14read812,-0.49932765600796786
5517,arrest14hsaeng10,-0.49906262276876856
5192,gunhom13hsaalg10,-0.4984564053725223
4341,narc12hsaeng10,-0.4979394815912222
4832,gunhom11math513,-0.49778311084048593
1492,viol13hsabio13,-0.49715511214707575
4177,narc11hsabio10,-0.4968380140502553
4183,narc11hsagov13,-0.4964158252391528
5046,gunhom13somecol13,-0.4961927181821323
5015,gunhom12hsaeng12,-0.49599565864534634
1663,viol14hsagov13,-0.4958361667862875
3813,caslt11math310,-0.4948691890171027
3161,domvio11read810,-0.4947819507161534
5173,gunhom13math810,-0.49423977607554576
1309,viol12math810,-0.4938496226018067
4014,caslt12hsagov11,-0.49381538195584734
985,viol10hsabio10,-0.4937004879258736
4182,narc11hsagov11,-0.49358621723989293
5186,gunhom13hsabio11,-0.49346540846345766
5184,gunhom13hsaeng13,-0.4930426297722043
5171,gunhom13read512,-0.492903443557211
3983,caslt12math312,-0.49280315605435093
4003,caslt12read812,-0.4912087986040121
3992,caslt12math513,-0.49105192554712895
4180,narc11hsabio13,-0.49082238426471325
3820,caslt11read313,-0.48926340089648335
5188,gunhom13hsabio13,-0.48924215340831645
2993,domvio10read810,-0.4881995080953653
5190,gunhom13hsagov11,-0.48797860391472136
3024,domvio11empl13,-0.48745934392514145
2989,domvio10math810,-0.48724067652037095
2808,juvdrug11math313,-0.4857039368600401
4173,narc11hsaeng10,-0.48569739587887384
1148,viol11read813,-0.48527050039957176
2146,prop13read511,-0.4847530047542367
642,crime13read811,-0.4847003737320282
4710,gunhom11somecol13,-0.48386242040065386
1495,viol13hsagov13,-0.48357460054941565
5023,gunhom12hsagov13,-0.4830551881565394
4991,gunhom12math312,-0.48226147345373505
1129,viol11read310,-0.48209419461957254
1323,viol12hsabio12,-0.4814726673804437
1648,viol14math813,-0.48097365875078707
3341,domvio12hsagov10,-0.48090657718580404
5017,gunhom12hsabio10,-0.4790541820715577
4498,caracc11read511,-0.47887245518846483
4169,narc11read810,-0.4776586896688919
3157,domvio11math810,-0.47755459400699213
4155,narc11read312,-0.477205101843785
4854,gunhom11hsagov11,-0.47711222303248446
4998,gunhom12math511,-0.4770879118500418
5123,gunhom13wstud11,-0.4770032342952713
961,viol10read310,-0.47668851568204673
2314,prop14read511,-0.47622972981030365
2856,domvio10empl13,-0.47601169700443957
2999,domvio10hsaeng12,-0.4755778526452565
5124,gunhom13wstud12,-0.47534660359581715
984,viol10hsaeng13,-0.47494727164566714
1645,viol14math810,-0.47479396416923586
5000,gunhom12math513,-0.4742155908141365
3314,domvio12read311,-0.47409241492222165
4841,gunhom11read810,-0.4739318640549788
1483,viol13read812,-0.47379330001806047
1153,viol11hsabio10,-0.4736042951188649
2490,juvarr11read811,-0.47354256993080407
5014,gunhom12hsaeng11,-0.472764795480717
5125,gunhom13wstud13,-0.4723759073933321
994,viol10hsaalg12,-0.4722231088772442
995,viol10hsaalg13,-0.4722231088772442
3830,caslt11math811,-0.47177049100189195
1631,viol14math312,-0.47122531517953464
1329,viol12hsaalg11,-0.47096165837523396
2650,juvviol11read511,-0.4708723842363016
306,crime11read811,-0.47029944106505045
3150,domvio11math511,-0.47020682749274073
1152,viol11hsaeng13,-0.46906232454786106
5122,gunhom13wstud10,-0.4689773727589828
1176,viol12empl13,-0.4687333492822879
975,viol10math812,-0.4685235077316569
1128,viol11math313,-0.4681334861465151
4337,narc12read810,-0.46756164197580086
3511,shoot11hsagov13,-0.46702518065266435
2862,domvio10somecol13,-0.46696195247258276
1653,viol14hsaeng10,-0.46670157943183216
1477,viol13math810,-0.466673253340162
3277,domvio12wstud13,-0.46645089227999
5019,gunhom12hsabio12,-0.46594445331500695
5159,gunhom13math312,-0.46484881540119427
810,crime14read811,-0.46457870209202434
5509,arrest14math810,-0.4640213409698352
4850,gunhom11hsabio11,-0.46326305437632775
1142,viol11math811,-0.4632434452064867
2827,juvdrug11read812,-0.46320795150668875
968,viol10math513,-0.46226072496386206
4856,gunhom11hsaalg10,-0.4621691072613282
1659,viol14hsabio12,-0.4613050856209094
2807,juvdrug11math312,-0.4612110698654079
1649,viol14read810,-0.4605772702210791
4012,caslt12hsabio13,-0.46011833918866357
5166,gunhom13math511,-0.4599099106609073
4994,gunhom12read311,-0.4595604917796821
4326,narc12math511,-0.4595189884271682
4990,gunhom12math311,-0.4594373791622721
804,crime14read513,-0.45815569868427225
4849,gunhom11hsabio10,-0.45781966479081365
5523,arrest14hsabio12,-0.45765441218668407
3276,domvio12wstud12,-0.45763300365335796
4825,gunhom11read310,-0.45746188642927293
4787,gunhom11wstud11,-0.45737952870658793
4018,caslt12hsaalg12,-0.4567226154632784
4019,caslt12hsaalg13,-0.4567226154632784
990,viol10hsagov11,-0.45644532437892615
5022,gunhom12hsagov11,-0.45630568871379706
789,crime14math310,-0.4562450100739989
5001,gunhom12read510,-0.4559636327322439
3501,shoot11hsaeng10,-0.4556423630301955
1481,viol13read810,-0.4547547358959503
1313,viol12read810,-0.4544537390117381
3275,domvio12wstud11,-0.45442106783367214
4788,gunhom11wstud12,-0.45366720262537696
1318,viol12hsaeng11,-0.4532884735207698
5157,gunhom13math310,-0.4532852507370804
1480,viol13math813,-0.45307878080770053
1136,viol11math513,-0.45224427412746626
1463,viol13math312,-0.45221722660961955
4789,gunhom11wstud13,-0.45193611285131496
4158,narc11math511,-0.45166488237357827
3443,shoot11wstud11,-0.45164428297280984
988,viol10hsabio13,-0.4515651226630252
1665,viol14hsaalg11,-0.4508694805647074
3836,caslt11read813,-0.45076609243250687
5529,arrest14hsaalg11,-0.45066053276090307
1491,viol13hsabio12,-0.4505800786829641
3816,caslt11math313,-0.4504810366055213
4000,caslt12math813,-0.4484605693059992
3841,caslt11hsabio10,-0.448426735860202
5513,arrest14read810,-0.4467397289021487
4829,gunhom11math510,-0.4457032092358579
4786,gunhom11wstud10,-0.445450758756475
636,crime13read513,-0.4453969735004804
1497,viol13hsaalg11,-0.4452351479255662
300,crime11read513,-0.44507163079466205
4845,gunhom11hsaeng10,-0.44506415162808993
5187,gunhom13hsabio12,-0.4448286214843475
1485,viol13hsaeng10,-0.4446971447547863
4318,narc12math311,-0.44462930419544805
5182,gunhom13hsaeng11,-0.4438256279852427
3831,caslt11math812,-0.4430201998536293
1325,viol12hsagov10,-0.4429905430408649
4347,narc12hsabio12,-0.4429025706348081
3444,shoot11wstud12,-0.4424908202971825
2469,juvarr11math310,-0.44233311245929813
1305,viol12read510,-0.4420632184101423
3506,shoot11hsabio11,-0.44132670811794306
138,crime10read811,-0.4396648832279304
3153,domvio11read510,-0.4394572080093969
2833,juvdrug11hsabio10,-0.43872737848845017
3010,domvio10hsaalg12,-0.4382462390038099
3011,domvio10hsaalg13,-0.4382462390038099
3007,domvio10hsagov13,-0.43785479870659316
979,viol10read812,-0.4370076456761448
621,crime13math310,-0.43659823975675416
4157,narc11math510,-0.43638364229280135
3824,caslt11math513,-0.43634000033729675
3109,domvio11wstud13,-0.43590797840694223
3445,shoot11wstud13,-0.43568555544055815
3310,domvio12math311,-0.43409648524147704
3997,caslt12math810,-0.43370635553700204
3442,shoot11wstud10,-0.4328690525010381
2688,juvdrug11empl13,-0.4328054530461067
1158,viol11hsagov11,-0.43272505421203766
793,crime14read310,-0.43176554814353535
3489,shoot11read510,-0.4316770391408078
1143,viol11math812,-0.431203179271277
3146,domvio11read311,-0.43067580745961115
3108,domvio11wstud12,-0.4303953904424082
4015,caslt12hsagov13,-0.43000910649616275
3173,domvio11hsagov10,-0.42999705291144374
2838,juvdrug11hsagov11,-0.4299001633532677
4851,gunhom11hsabio12,-0.42863852779869316
959,viol10math312,-0.4286152127354576
468,crime12read513,-0.4285476797728767
4830,gunhom11math511,-0.4282731894861032
4831,gunhom11math512,-0.4278463449280312
453,crime12math310,-0.42755605951103376
1127,viol11math312,-0.4270892031417624
3507,shoot11hsabio12,-0.42678284834091246
1512,viol14empl13,-0.4267608103309077
5027,gunhom12hsaalg13,-0.42634904805194873
5026,gunhom12hsaalg12,-0.42634904805194873
3107,domvio11wstud11,-0.4260563548263347
3142,domvio11math311,-0.42585957839079974
4325,narc12math510,-0.42584286638363394
1322,viol12hsabio11,-0.4255563550724134
1163,viol11hsaalg13,-0.42519232787162536
1162,viol11hsaalg12,-0.42519232787162536
4997,gunhom12math510,-0.4249433513049817
2479,juvarr11math512,-0.4247826222450422
4150,narc11math311,-0.42474280103726286
5531,arrest14hsaalg13,-0.4245276698258998
5530,arrest14hsaalg12,-0.4245276698258998
3485,shoot11math510,-0.42437724570647267
817,crime14hsabio10,-0.4224834308920691
4179,narc11hsabio12,-0.42244364972845583
1299,viol12read312,-0.42210867606515534
3513,shoot11hsaalg11,-0.42078261964148417
1156,viol11hsabio13,-0.4206075059785408
2832,juvdrug11hsaeng13,-0.42041498483984135
2941,domvio10wstud13,-0.4203334929124287
1986,prop12read811,-0.4189990368873477
5193,gunhom13hsaalg11,-0.41885511361540223
3002,domvio10hsabio11,-0.41813830094831
5162,gunhom13read311,-0.4179008833431374
4855,gunhom11hsagov13,-0.41780813314812093
2836,juvdrug11hsabio13,-0.41715284564033306
3835,caslt11read812,-0.4161704809091433
4857,gunhom11hsaalg11,-0.41451489108859507
127,crime10math512,-0.4143073171734899
1344,viol13empl13,-0.4135764554526089
1818,prop11read811,-0.41310411062291164
1328,viol12hsaalg10,-0.4127889164455789
3850,caslt11hsaalg12,-0.4122140815478606
3851,caslt11hsaalg13,-0.4122140815478606
2940,domvio10wstud12,-0.4121309372335351
1661,viol14hsagov10,-0.41170078492080775
285,crime11math310,-0.41159573121293913
4888,gunhom12crehab13,-0.4109555560844268
3274,domvio12wstud10,-0.4107651599301828
1147,viol11read812,-0.4106690765591463
343,crime12wrkout10,-0.4101346736519646
4017,caslt12hsaalg11,-0.4098025280481186
5025,gunhom12hsaalg11,-0.409570588756284
1259,viol12wstud11,-0.4089952702417632
2939,domvio10wstud11,-0.4088332345622971
5158,gunhom13math311,-0.4086827142924778
2359,juvarr11wrkout10,-0.4083318957007497
4352,narc12hsaalg10,-0.40819600085899926
3512,shoot11hsaalg10,-0.4080947849229154
1654,viol14hsaeng11,-0.40780547891341534
4005,caslt12hsaeng10,-0.4077878513431955
5004,gunhom12read513,-0.4069062532351914
4283,narc12wstud11,-0.4064878043436917
1260,viol12wstud12,-0.4058556731932716
3840,caslt11hsaeng13,-0.4055638563870898
295,crime11math512,-0.40532054083898783
4846,gunhom11hsaeng11,-0.40524762277383347
2809,juvdrug11read310,-0.40476628310402263
5172,gunhom13read513,-0.40459577583040857
511,crime13wrkout10,-0.40458721986707435
803,crime14read512,-0.40438266934812206
4822,gunhom11math311,-0.40258433671852606
5002,gunhom12read511,-0.40253120986232005
2527,juvviol11wrkout10,-0.40177649274082855
4284,narc12wstud12,-0.4017725740247988
3502,shoot11hsaeng11,-0.4015449799147491
2816,juvdrug11math513,-0.4013056392742081
1183,viol12wrkout10,-0.40107761798584907
4353,narc12hsaalg11,-0.4001767202537557
4346,narc12hsabio11,-0.399413034651457
1261,viol12wstud13,-0.39887340911913394
5525,arrest14hsagov10,-0.39842941461094555
987,viol10hsabio12,-0.39813158985100644
1486,viol13hsaeng11,-0.39785376789496935
5518,arrest14hsaeng11,-0.3974410225112493
5183,gunhom13hsaeng12,-0.3972181628625818
5167,gunhom13math512,-0.39663464166398765
1635,viol14read312,-0.39647010213181927
3864,caslt12empl13,-0.3963830412943147
4285,narc12wstud13,-0.3962921988216922
1855,prop12wrkout10,-0.3957760009295828
1258,viol12wstud10,-0.3953137042500742
2998,domvio10hsaeng11,-0.3949865355440599
4184,narc11hsaalg10,-0.3947578939376574
4186,narc11hsaalg12,-0.3944133158299891
4187,narc11hsaalg13,-0.3944133158299891
4847,gunhom11hsaeng12,-0.3939789727795533
649,crime13hsabio10,-0.39378728683991726
991,viol10hsagov13,-0.393454578171641
4115,narc11wstud11,-0.3933682661813162
4354,narc12hsaalg12,-0.39330786261417555
4355,narc12hsaalg13,-0.39330786261417555
2023,prop13wrkout10,-0.392983917293686
467,crime12read512,-0.3928763639272099
822,crime14hsagov11,-0.39274462957794637
2154,prop13read811,-0.3924037827215835
2695,juvdrug11wrkout10,-0.391958404286598
973,viol10math810,-0.39194966292568245
5522,arrest14hsabio11,-0.3916889718821217
826,crime14hsaalg12,-0.3916149853241895
827,crime14hsaalg13,-0.3916149853241895
4178,narc11hsabio11,-0.391557910093724
981,viol10hsaeng10,-0.3915165891182037
3106,domvio11wstud10,-0.39091052669012705
3844,caslt11hsabio13,-0.3906353241584744
5189,gunhom13hsagov10,-0.39052191505711853
2978,domvio10read311,-0.3904551389749231
4989,gunhom12math310,-0.390394666196118
4011,caslt12hsabio12,-0.3903325673248327
4282,narc12wstud10,-0.3902818607912559
635,crime13read512,-0.3902759708926637
481,crime12hsabio10,-0.3900767936038371
5528,arrest14hsaalg10,-0.38976142945097364
4116,narc11wstud12,-0.3882184019096579
3515,shoot11hsaalg13,-0.38819646428767124
3514,shoot11hsaalg12,-0.38819646428767124
4342,narc12hsaeng11,-0.38758554950894053
1473,viol13read510,-0.3875709026919818
2824,juvdrug11math813,-0.38756267214251033
117,crime10math310,-0.38747415079356684
